index,split,gated_image,depth_image,class_ids,class_names,models,positions
10,val,val/gated_range_view/0010_c2_research_platform.png,val/depth_camera_rgb/0010_c2_research_platform.png,2,research_platform,research_platform,"research_platform:40.13,6.88,2.00,-2.49"
11,train,train/gated_range_view/0011_c0+1_moving_vessel+service_boat.png,train/depth_camera_rgb/0011_c0+1_moving_vessel+service_boat.png,0+1,moving_vessel+service_boat,moving_vessel+service_boat,"moving_vessel:29.48,-1.79,0.42,-0.27;service_boat:37.22,1.27,0.38,0.21"
12,train,train/gated_range_view/0012_c0_moving_vessel.png,train/depth_camera_rgb/0012_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:23.72,4.77,0.42,-0.56"
13,train,train/gated_range_view/0013_c2+3_research_platform+small_fishing_boat.png,train/depth_camera_rgb/0013_c2+3_research_platform+small_fishing_boat.png,2+3,research_platform+fishing_boat,research_platform+small_fishing_boat,"research_platform:24.95,-2.35,2.00,0.10;small_fishing_boat:20.11,1.08,0.34,1.50"
14,train,train/gated_range_view/0014_c2+3_research_platform+small_fishing_boat.png,train/depth_camera_rgb/0014_c2+3_research_platform+small_fishing_boat.png,2+3,research_platform+fishing_boat,research_platform+small_fishing_boat,"research_platform:49.09,-5.32,2.00,0.31;small_fishing_boat:18.47,0.58,0.34,1.43"
15,val,val/gated_range_view/0015_c2_research_platform.png,val/depth_camera_rgb/0015_c2_research_platform.png,2,research_platform,research_platform,"research_platform:37.56,5.83,2.00,-0.30"
16,train,train/gated_range_view/0016_c1_service_boat.png,train/depth_camera_rgb/0016_c1_service_boat.png,1,service_boat,service_boat,"service_boat:28.74,-3.61,0.38,3.43"
17,train,train/gated_range_view/0017_c3_survey_boat.png,train/depth_camera_rgb/0017_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:32.47,-2.20,0.36,2.96"
18,train,train/gated_range_view/0018_c1+3_service_boat+survey_boat.png,train/depth_camera_rgb/0018_c1+3_service_boat+survey_boat.png,1+3,service_boat+fishing_boat,service_boat+survey_boat,"service_boat:34.47,-5.49,0.38,-1.59;survey_boat:37.53,3.61,0.36,1.30"
19,train,train/gated_range_view/0019_c3_small_fishing_boat.png,train/depth_camera_rgb/0019_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:24.96,2.80,0.34,0.75"
20,val,val/gated_range_view/0020_c0_moving_vessel.png,val/depth_camera_rgb/0020_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:37.15,2.99,0.42,1.80"
21,train,train/gated_range_view/0021_c2_research_platform.png,train/depth_camera_rgb/0021_c2_research_platform.png,2,research_platform,research_platform,"research_platform:50.51,5.94,2.00,1.65"
22,train,train/gated_range_view/0022_c0_moving_vessel.png,train/depth_camera_rgb/0022_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:36.91,-6.48,0.42,2.22"
23,train,train/gated_range_view/0023_c1+2_service_boat+research_platform.png,train/depth_camera_rgb/0023_c1+2_service_boat+research_platform.png,1+2,service_boat+research_platform,service_boat+research_platform,"service_boat:32.73,-4.58,0.38,1.24;research_platform:46.69,7.84,2.00,-1.64"
24,train,train/gated_range_view/0024_c3+5_small_fishing_boat+floating_container.png,train/depth_camera_rgb/0024_c3+5_small_fishing_boat+floating_container.png,3+5,fishing_boat+obstacle,small_fishing_boat+floating_container,"small_fishing_boat:11.40,-2.20,0.34,0.13;floating_container:21.32,1.38,0.28,-1.47"
25,val,val/gated_range_view/0025_c0_moving_vessel.png,val/depth_camera_rgb/0025_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:26.65,1.28,0.42,3.05"
26,train,train/gated_range_view/0026_c1+3_service_boat+small_fishing_boat.png,train/depth_camera_rgb/0026_c1+3_service_boat+small_fishing_boat.png,1+3,service_boat+fishing_boat,service_boat+small_fishing_boat,"service_boat:33.93,-2.55,0.38,2.83;small_fishing_boat:20.36,1.54,0.34,0.17"
27,train,train/gated_range_view/0027_c1_service_boat.png,train/depth_camera_rgb/0027_c1_service_boat.png,1,service_boat,service_boat,"service_boat:22.47,-3.90,0.38,1.56"
28,train,train/gated_range_view/0028_c4_cargo_ship_far.png,train/depth_camera_rgb/0028_c4_cargo_ship_far.png,4,ship_far,cargo_ship_far,"cargo_ship_far:72.29,-0.19,1.05,-1.14"
29,train,train/gated_range_view/0029_c4_cargo_ship_far.png,train/depth_camera_rgb/0029_c4_cargo_ship_far.png,4,ship_far,cargo_ship_far,"cargo_ship_far:56.19,2.75,1.05,-0.09"
30,val,val/gated_range_view/0030_c1_service_boat.png,val/depth_camera_rgb/0030_c1_service_boat.png,1,service_boat,service_boat,"service_boat:12.54,-1.49,0.38,-0.23"
31,train,train/gated_range_view/0031_c2_research_platform.png,train/depth_camera_rgb/0031_c2_research_platform.png,2,research_platform,research_platform,"research_platform:50.22,3.92,2.00,3.49"
32,train,train/gated_range_view/0032_c0_moving_vessel.png,train/depth_camera_rgb/0032_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:33.10,6.53,0.42,2.52"
33,train,train/gated_range_view/0033_c3+1_small_fishing_boat+service_boat.png,train/depth_camera_rgb/0033_c3+1_small_fishing_boat+service_boat.png,3+1,fishing_boat+service_boat,small_fishing_boat+service_boat,"small_fishing_boat:23.39,-0.82,0.34,-1.27;service_boat:31.07,2.65,0.38,1.73"
34,train,train/gated_range_view/0034_c3_survey_boat.png,train/depth_camera_rgb/0034_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:17.42,-0.45,0.36,-2.16"
35,val,val/gated_range_view/0035_c1+0_service_boat+moving_vessel.png,val/depth_camera_rgb/0035_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:34.59,-3.48,0.38,1.10;moving_vessel:15.11,0.50,0.42,1.12"
36,train,train/gated_range_view/0036_c1_service_boat.png,train/depth_camera_rgb/0036_c1_service_boat.png,1,service_boat,service_boat,"service_boat:9.44,-0.09,0.38,-2.69"
37,train,train/gated_range_view/0037_c2_research_platform.png,train/depth_camera_rgb/0037_c2_research_platform.png,2,research_platform,research_platform,"research_platform:33.88,-0.69,2.00,0.82"
38,train,train/gated_range_view/0038_c2+0_research_platform+moving_vessel.png,train/depth_camera_rgb/0038_c2+0_research_platform+moving_vessel.png,2+0,research_platform+moving_vessel,research_platform+moving_vessel,"research_platform:22.37,-0.91,2.00,-1.69;moving_vessel:15.72,2.57,0.42,0.72"
39,train,train/gated_range_view/0039_c3+1_small_fishing_boat+service_boat.png,train/depth_camera_rgb/0039_c3+1_small_fishing_boat+service_boat.png,3+1,fishing_boat+service_boat,small_fishing_boat+service_boat,"small_fishing_boat:25.35,-1.54,0.34,0.91;service_boat:30.27,4.62,0.38,3.21"
40,val,val/gated_range_view/0040_c2+5_research_platform+fishnet_buoy.png,val/depth_camera_rgb/0040_c2+5_research_platform+fishnet_buoy.png,2+5,research_platform+obstacle,research_platform+fishnet_buoy,"research_platform:40.54,-2.10,2.00,-1.42;fishnet_buoy:28.56,1.82,0.30,1.61"
41,train,train/gated_range_view/0041_c0_moving_vessel.png,train/depth_camera_rgb/0041_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:36.65,-5.25,0.42,-1.05"
42,train,train/gated_range_view/0042_c4_cargo_ship_far.png,train/depth_camera_rgb/0042_c4_cargo_ship_far.png,4,ship_far,cargo_ship_far,"cargo_ship_far:90.41,0.43,1.05,-2.04"
43,train,train/gated_range_view/0043_c1_service_boat.png,train/depth_camera_rgb/0043_c1_service_boat.png,1,service_boat,service_boat,"service_boat:11.23,-1.38,0.38,0.15"
44,train,train/gated_range_view/0044_c0_moving_vessel.png,train/depth_camera_rgb/0044_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:21.88,3.82,0.42,1.65"
45,val,val/gated_range_view/0045_c1_service_boat.png,val/depth_camera_rgb/0045_c1_service_boat.png,1,service_boat,service_boat,"service_boat:18.56,-2.86,0.38,2.79"
46,train,train/gated_range_view/0046_c0+3_moving_vessel+survey_boat.png,train/depth_camera_rgb/0046_c0+3_moving_vessel+survey_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+survey_boat,"moving_vessel:23.78,-1.27,0.42,-2.60;survey_boat:18.12,2.47,0.36,-1.56"
47,train,train/gated_range_view/0047_c3_small_fishing_boat.png,train/depth_camera_rgb/0047_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:18.75,-3.49,0.34,3.20"
48,train,train/gated_range_view/0048_c0_moving_vessel.png,train/depth_camera_rgb/0048_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:32.05,-0.89,0.42,0.25"
49,train,train/gated_range_view/0049_c1_service_boat.png,train/depth_camera_rgb/0049_c1_service_boat.png,1,service_boat,service_boat,"service_boat:29.20,-4.52,0.38,-2.26"
50,val,val/gated_range_view/0050_c4+0_anchored_tanker+moving_vessel.png,val/depth_camera_rgb/0050_c4+0_anchored_tanker+moving_vessel.png,4+0,ship_far+moving_vessel,anchored_tanker+moving_vessel,"anchored_tanker:101.84,-6.60,1.05,2.80;moving_vessel:39.42,0.70,0.42,3.12"
51,train,train/gated_range_view/0051_c0_moving_vessel.png,train/depth_camera_rgb/0051_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:37.45,-1.54,0.42,-1.92"
52,train,train/gated_range_view/0052_c0+3_moving_vessel+survey_boat.png,train/depth_camera_rgb/0052_c0+3_moving_vessel+survey_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+survey_boat,"moving_vessel:34.01,-5.72,0.42,3.26;survey_boat:16.92,1.26,0.36,-0.98"
53,train,train/gated_range_view/0053_c3_small_fishing_boat.png,train/depth_camera_rgb/0053_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:18.97,-0.83,0.34,3.16"
54,train,train/gated_range_view/0054_c3+0_small_fishing_boat+moving_vessel.png,train/depth_camera_rgb/0054_c3+0_small_fishing_boat+moving_vessel.png,3+0,fishing_boat+moving_vessel,small_fishing_boat+moving_vessel,"small_fishing_boat:18.23,-1.98,0.34,-1.55;moving_vessel:35.32,4.65,0.42,1.83"
55,val,val/gated_range_view/0055_c0+1_moving_vessel+service_boat.png,val/depth_camera_rgb/0055_c0+1_moving_vessel+service_boat.png,0+1,moving_vessel+service_boat,moving_vessel+service_boat,"moving_vessel:13.68,-1.01,0.42,1.07;service_boat:28.97,1.75,0.38,2.03"
56,train,train/gated_range_view/0056_c2_research_platform.png,train/depth_camera_rgb/0056_c2_research_platform.png,2,research_platform,research_platform,"research_platform:24.13,1.51,2.00,2.26"
57,train,train/gated_range_view/0057_c1+0_service_boat+moving_vessel.png,train/depth_camera_rgb/0057_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:31.84,-4.34,0.38,-1.85;moving_vessel:21.46,0.90,0.42,-2.41"
58,train,train/gated_range_view/0058_c2_research_platform.png,train/depth_camera_rgb/0058_c2_research_platform.png,2,research_platform,research_platform,"research_platform:28.72,1.14,2.00,1.50"
59,train,train/gated_range_view/0059_c0_moving_vessel.png,train/depth_camera_rgb/0059_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:21.13,2.58,0.42,-1.55"
60,val,val/gated_range_view/0060_c0_moving_vessel.png,val/depth_camera_rgb/0060_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:34.67,3.41,0.42,-3.06"
61,train,train/gated_range_view/0061_c2_research_platform.png,train/depth_camera_rgb/0061_c2_research_platform.png,2,research_platform,research_platform,"research_platform:31.51,5.95,2.00,2.80"
62,train,train/gated_range_view/0062_c0+2_moving_vessel+research_platform.png,train/depth_camera_rgb/0062_c0+2_moving_vessel+research_platform.png,0+2,moving_vessel+research_platform,moving_vessel+research_platform,"moving_vessel:11.04,-0.44,0.42,1.99;research_platform:30.09,2.41,2.00,-0.02"
63,train,train/gated_range_view/0063_c4_cargo_ship_far.png,train/depth_camera_rgb/0063_c4_cargo_ship_far.png,4,ship_far,cargo_ship_far,"cargo_ship_far:47.03,0.56,1.05,1.66"
64,train,train/gated_range_view/0064_c1_service_boat.png,train/depth_camera_rgb/0064_c1_service_boat.png,1,service_boat,service_boat,"service_boat:12.55,0.09,0.38,0.23"
65,val,val/gated_range_view/0065_c3_small_fishing_boat.png,val/depth_camera_rgb/0065_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:9.27,0.95,0.34,3.36"
66,train,train/gated_range_view/0066_c4+2_anchored_tanker+research_platform.png,train/depth_camera_rgb/0066_c4+2_anchored_tanker+research_platform.png,4+2,ship_far+research_platform,anchored_tanker+research_platform,"anchored_tanker:84.49,-0.55,1.05,3.04;research_platform:52.91,5.98,2.00,0.21"
67,train,train/gated_range_view/0067_c0_moving_vessel.png,train/depth_camera_rgb/0067_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:26.33,4.74,0.42,1.27"
68,train,train/gated_range_view/0068_c2+0_research_platform+moving_vessel.png,train/depth_camera_rgb/0068_c2+0_research_platform+moving_vessel.png,2+0,research_platform+moving_vessel,research_platform+moving_vessel,"research_platform:30.50,-0.55,2.00,0.43;moving_vessel:22.75,2.89,0.42,2.97"
69,train,train/gated_range_view/0069_c0_moving_vessel.png,train/depth_camera_rgb/0069_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:25.97,3.09,0.42,1.36"
70,val,val/gated_range_view/0070_c2_research_platform.png,val/depth_camera_rgb/0070_c2_research_platform.png,2,research_platform,research_platform,"research_platform:20.05,3.11,2.00,-2.86"
71,train,train/gated_range_view/0071_c3+1_small_fishing_boat+service_boat.png,train/depth_camera_rgb/0071_c3+1_small_fishing_boat+service_boat.png,3+1,fishing_boat+service_boat,small_fishing_boat+service_boat,"small_fishing_boat:31.44,-5.29,0.34,-2.48;service_boat:32.40,1.04,0.38,-1.29"
72,train,train/gated_range_view/0072_c2_research_platform.png,train/depth_camera_rgb/0072_c2_research_platform.png,2,research_platform,research_platform,"research_platform:39.98,-7.31,2.00,0.73"
73,train,train/gated_range_view/0073_c1_service_boat.png,train/depth_camera_rgb/0073_c1_service_boat.png,1,service_boat,service_boat,"service_boat:14.29,-2.07,0.38,0.96"
74,train,train/gated_range_view/0074_c4+2_anchored_tanker+research_platform.png,train/depth_camera_rgb/0074_c4+2_anchored_tanker+research_platform.png,4+2,ship_far+research_platform,anchored_tanker+research_platform,"anchored_tanker:75.06,-2.12,1.05,0.70;research_platform:29.07,5.15,2.00,0.49"
75,val,val/gated_range_view/0075_c1_service_boat.png,val/depth_camera_rgb/0075_c1_service_boat.png,1,service_boat,service_boat,"service_boat:23.36,4.76,0.38,1.33"
76,train,train/gated_range_view/0076_c3+0_survey_boat+moving_vessel.png,train/depth_camera_rgb/0076_c3+0_survey_boat+moving_vessel.png,3+0,fishing_boat+moving_vessel,survey_boat+moving_vessel,"survey_boat:21.71,-3.41,0.36,2.73;moving_vessel:30.52,1.94,0.42,-2.64"
77,train,train/gated_range_view/0077_c2+5_research_platform+floating_obstacle.png,train/depth_camera_rgb/0077_c2+5_research_platform+floating_obstacle.png,2+5,research_platform+obstacle,research_platform+floating_obstacle,"research_platform:45.11,-1.27,2.00,2.88;floating_obstacle:25.91,2.26,0.24,3.41"
78,train,train/gated_range_view/0078_c3_small_fishing_boat.png,train/depth_camera_rgb/0078_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:10.79,0.58,0.34,2.95"
79,train,train/gated_range_view/0079_c0+2_moving_vessel+research_platform.png,train/depth_camera_rgb/0079_c0+2_moving_vessel+research_platform.png,0+2,moving_vessel+research_platform,moving_vessel+research_platform,"moving_vessel:36.24,-2.72,0.42,-1.64;research_platform:37.44,4.63,2.00,-1.65"
80,val,val/gated_range_view/0080_c1_service_boat.png,val/depth_camera_rgb/0080_c1_service_boat.png,1,service_boat,service_boat,"service_boat:16.15,1.34,0.38,-3.12"
81,train,train/gated_range_view/0081_c2_research_platform.png,train/depth_camera_rgb/0081_c2_research_platform.png,2,research_platform,research_platform,"research_platform:46.90,-1.62,2.00,-2.99"
82,train,train/gated_range_view/0082_c3_small_fishing_boat.png,train/depth_camera_rgb/0082_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:9.48,1.11,0.34,-0.82"
83,train,train/gated_range_view/0083_c0_moving_vessel.png,train/depth_camera_rgb/0083_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:26.91,3.28,0.42,2.83"
84,train,train/gated_range_view/0084_c1+2_service_boat+research_platform.png,train/depth_camera_rgb/0084_c1+2_service_boat+research_platform.png,1+2,service_boat+research_platform,service_boat+research_platform,"service_boat:24.17,-4.25,0.38,-0.86;research_platform:40.47,6.71,2.00,-1.81"
85,val,val/gated_range_view/0085_c2+3_research_platform+small_fishing_boat.png,val/depth_camera_rgb/0085_c2+3_research_platform+small_fishing_boat.png,2+3,research_platform+fishing_boat,research_platform+small_fishing_boat,"research_platform:18.13,-2.94,2.00,-2.25;small_fishing_boat:19.48,2.88,0.34,-0.27"
86,train,train/gated_range_view/0086_c0_moving_vessel.png,train/depth_camera_rgb/0086_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:13.69,2.24,0.42,-0.64"
87,train,train/gated_range_view/0087_c2+3_research_platform+small_fishing_boat.png,train/depth_camera_rgb/0087_c2+3_research_platform+small_fishing_boat.png,2+3,research_platform+fishing_boat,research_platform+small_fishing_boat,"research_platform:34.56,-2.60,2.00,-0.10;small_fishing_boat:31.36,2.11,0.34,-1.66"
88,train,train/gated_range_view/0088_c5_floating_obstacle.png,train/depth_camera_rgb/0088_c5_floating_obstacle.png,5,obstacle,floating_obstacle,"floating_obstacle:21.95,4.58,0.24,1.09"
89,train,train/gated_range_view/0089_c2+0_research_platform+moving_vessel.png,train/depth_camera_rgb/0089_c2+0_research_platform+moving_vessel.png,2+0,research_platform+moving_vessel,research_platform+moving_vessel,"research_platform:50.47,-1.17,2.00,-2.28;moving_vessel:33.18,3.74,0.42,3.24"
90,val,val/gated_range_view/0090_c0_moving_vessel.png,val/depth_camera_rgb/0090_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:24.04,3.60,0.42,0.84"
91,train,train/gated_range_view/0091_c0_moving_vessel.png,train/depth_camera_rgb/0091_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:34.26,6.82,0.42,-2.38"
92,train,train/gated_range_view/0092_c2_research_platform.png,train/depth_camera_rgb/0092_c2_research_platform.png,2,research_platform,research_platform,"research_platform:46.52,0.75,2.00,-2.44"
93,train,train/gated_range_view/0093_c3+3_small_fishing_boat+survey_boat.png,train/depth_camera_rgb/0093_c3+3_small_fishing_boat+survey_boat.png,3+3,fishing_boat+fishing_boat,small_fishing_boat+survey_boat,"small_fishing_boat:29.66,-1.10,0.34,1.61;survey_boat:22.28,3.31,0.36,2.25"
94,train,train/gated_range_view/0094_c3_small_fishing_boat.png,train/depth_camera_rgb/0094_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:22.05,1.83,0.34,-1.68"
95,val,val/gated_range_view/0095_c0_moving_vessel.png,val/depth_camera_rgb/0095_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:30.48,5.63,0.42,-1.74"
96,train,train/gated_range_view/0096_c0_moving_vessel.png,train/depth_camera_rgb/0096_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:15.31,1.70,0.42,-2.44"
97,train,train/gated_range_view/0097_c1_service_boat.png,train/depth_camera_rgb/0097_c1_service_boat.png,1,service_boat,service_boat,"service_boat:13.28,2.64,0.38,3.20"
98,train,train/gated_range_view/0098_c3+1_survey_boat+service_boat.png,train/depth_camera_rgb/0098_c3+1_survey_boat+service_boat.png,3+1,fishing_boat+service_boat,survey_boat+service_boat,"survey_boat:26.73,-3.97,0.36,2.83;service_boat:37.81,2.79,0.38,-2.13"
99,train,train/gated_range_view/0099_c2_research_platform.png,train/depth_camera_rgb/0099_c2_research_platform.png,2,research_platform,research_platform,"research_platform:40.08,3.60,2.00,0.93"
100,val,val/gated_range_view/0100_c1+0_service_boat+moving_vessel.png,val/depth_camera_rgb/0100_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:27.49,-3.51,0.38,1.88;moving_vessel:35.77,4.09,0.42,-1.84"
101,train,train/gated_range_view/0101_c0+1_moving_vessel+service_boat.png,train/depth_camera_rgb/0101_c0+1_moving_vessel+service_boat.png,0+1,moving_vessel+service_boat,moving_vessel+service_boat,"moving_vessel:22.25,-4.24,0.42,-2.69;service_boat:37.43,5.22,0.38,1.59"
102,train,train/gated_range_view/0102_c0+3_moving_vessel+small_fishing_boat.png,train/depth_camera_rgb/0102_c0+3_moving_vessel+small_fishing_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+small_fishing_boat,"moving_vessel:34.84,-2.69,0.42,-0.05;small_fishing_boat:41.27,2.83,0.34,-1.60"
103,train,train/gated_range_view/0103_c1_service_boat.png,train/depth_camera_rgb/0103_c1_service_boat.png,1,service_boat,service_boat,"service_boat:17.01,0.46,0.38,0.97"
104,train,train/gated_range_view/0104_c2_research_platform.png,train/depth_camera_rgb/0104_c2_research_platform.png,2,research_platform,research_platform,"research_platform:40.48,3.78,2.00,3.33"
105,val,val/gated_range_view/0105_c1_service_boat.png,val/depth_camera_rgb/0105_c1_service_boat.png,1,service_boat,service_boat,"service_boat:18.90,3.78,0.38,1.39"
106,train,train/gated_range_view/0106_c0_moving_vessel.png,train/depth_camera_rgb/0106_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:12.82,-0.50,0.42,-2.67"
107,train,train/gated_range_view/0107_c2+5_research_platform+fishnet_buoy.png,train/depth_camera_rgb/0107_c2+5_research_platform+fishnet_buoy.png,2+5,research_platform+obstacle,research_platform+fishnet_buoy,"research_platform:42.09,-2.48,2.00,1.89;fishnet_buoy:16.84,0.46,0.30,0.93"
108,train,train/gated_range_view/0108_c2_research_platform.png,train/depth_camera_rgb/0108_c2_research_platform.png,2,research_platform,research_platform,"research_platform:27.68,-4.69,2.00,-0.39"
109,train,train/gated_range_view/0109_c2+1_research_platform+service_boat.png,train/depth_camera_rgb/0109_c2+1_research_platform+service_boat.png,2+1,research_platform+service_boat,research_platform+service_boat,"research_platform:23.48,-3.58,2.00,-0.52;service_boat:23.09,1.12,0.38,-1.38"
110,val,val/gated_range_view/0110_c0_moving_vessel.png,val/depth_camera_rgb/0110_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:26.48,-0.69,0.42,3.24"
111,train,train/gated_range_view/0111_c1_service_boat.png,train/depth_camera_rgb/0111_c1_service_boat.png,1,service_boat,service_boat,"service_boat:17.23,1.94,0.38,-1.82"
112,train,train/gated_range_view/0112_c2_research_platform.png,train/depth_camera_rgb/0112_c2_research_platform.png,2,research_platform,research_platform,"research_platform:40.51,-7.95,2.00,0.34"
113,train,train/gated_range_view/0113_c2+0_research_platform+moving_vessel.png,train/depth_camera_rgb/0113_c2+0_research_platform+moving_vessel.png,2+0,research_platform+moving_vessel,research_platform+moving_vessel,"research_platform:42.57,-3.14,2.00,-1.20;moving_vessel:44.30,2.12,0.42,-0.16"
114,train,train/gated_range_view/0114_c1_service_boat.png,train/depth_camera_rgb/0114_c1_service_boat.png,1,service_boat,service_boat,"service_boat:24.37,-5.31,0.38,-2.19"
115,val,val/gated_range_view/0115_c0_moving_vessel.png,val/depth_camera_rgb/0115_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:37.39,4.81,0.42,-0.09"
116,train,train/gated_range_view/0116_c3_survey_boat.png,train/depth_camera_rgb/0116_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:30.76,-4.26,0.36,2.89"
117,train,train/gated_range_view/0117_c4_anchored_tanker.png,train/depth_camera_rgb/0117_c4_anchored_tanker.png,4,ship_far,anchored_tanker,"anchored_tanker:74.51,1.81,1.05,0.28"
118,train,train/gated_range_view/0118_c3+1_small_fishing_boat+service_boat.png,train/depth_camera_rgb/0118_c3+1_small_fishing_boat+service_boat.png,3+1,fishing_boat+service_boat,small_fishing_boat+service_boat,"small_fishing_boat:12.94,-0.85,0.34,1.36;service_boat:24.45,3.12,0.38,1.26"
119,train,train/gated_range_view/0119_c0_moving_vessel.png,train/depth_camera_rgb/0119_c0_moving_vessel.png,0,moving_vessel,moving_vessel,"moving_vessel:16.18,1.51,0.42,-2.78"
120,val,val/gated_range_view/0120_c2_research_platform.png,val/depth_camera_rgb/0120_c2_research_platform.png,2,research_platform,research_platform,"research_platform:30.77,0.19,2.00,-3.09"
121,train,train/gated_range_view/0121_c3_survey_boat.png,train/depth_camera_rgb/0121_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:20.70,1.37,0.36,0.78"
122,train,train/gated_range_view/0122_c1_service_boat.png,train/depth_camera_rgb/0122_c1_service_boat.png,1,service_boat,service_boat,"service_boat:23.77,2.29,0.38,-2.40"
